product_id,brand,title,field,value,status,source_url,checked_at,notes
D01,FlexiSpot,"FlexiSpot E5 (48x24)",price_usd,269.0,VERIFIED,https://www.remoteofficeguy.com/flexispot-e5-vs-e6-vs-e7/,2026-08-18,"~$209 frame-only street price; ~$269 complete. 10-yr warranty. Heights frame-only."
D01,FlexiSpot,"FlexiSpot E5 (48x24)",width_in,48,VERIFIED,https://www.remoteofficeguy.com/flexispot-e5-vs-e6-vs-e7/,2026-08-18,"~$209 frame-only street price; ~$269 complete. 10-yr warranty. Heights frame-only."
D01,FlexiSpot,"FlexiSpot E5 (48x24)",depth_in,24,VERIFIED,https://www.remoteofficeguy.com/flexispot-e5-vs-e6-vs-e7/,2026-08-18,"~$209 frame-only street price; ~$269 complete. 10-yr warranty. Heights frame-only."
D01,FlexiSpot,"FlexiSpot E5 (48x24)",height_min_in,28.4,VERIFIED,https://www.remoteofficeguy.com/flexispot-e5-vs-e6-vs-e7/,2026-08-18,"~$209 frame-only street price; ~$269 complete. 10-yr warranty. Heights frame-only."
D01,FlexiSpot,"FlexiSpot E5 (48x24)",height_max_in,48.0,VERIFIED,https://www.remoteofficeguy.com/flexispot-e5-vs-e6-vs-e7/,2026-08-18,"~$209 frame-only street price; ~$269 complete. 10-yr warranty. Heights frame-only."
D01,FlexiSpot,"FlexiSpot E5 (48x24)",weight_capacity_lb,220,VERIFIED,https://www.remoteofficeguy.com/flexispot-e5-vs-e6-vs-e7/,2026-08-18,"~$209 frame-only street price; ~$269 complete. 10-yr warranty. Heights frame-only."
D01,FlexiSpot,"FlexiSpot E5 (48x24)",motors,2,VERIFIED,https://www.remoteofficeguy.com/flexispot-e5-vs-e6-vs-e7/,2026-08-18,"~$209 frame-only street price; ~$269 complete. 10-yr warranty. Heights frame-only."
D01,FlexiSpot,"FlexiSpot E5 (48x24)",leg_stages,2,VERIFIED,https://www.remoteofficeguy.com/flexispot-e5-vs-e6-vs-e7/,2026-08-18,"~$209 frame-only street price; ~$269 complete. 10-yr warranty. Heights frame-only."
D01,FlexiSpot,"FlexiSpot E5 (48x24)",warranty_years,10,VERIFIED,https://www.remoteofficeguy.com/flexispot-e5-vs-e6-vs-e7/,2026-08-18,"~$209 frame-only street price; ~$269 complete. 10-yr warranty. Heights frame-only."
D01,FlexiSpot,"FlexiSpot E5 (48x24)",top_material,laminate,VERIFIED,https://www.remoteofficeguy.com/flexispot-e5-vs-e6-vs-e7/,2026-08-18,"~$209 frame-only street price; ~$269 complete. 10-yr warranty. Heights frame-only."
D01,FlexiSpot,"FlexiSpot E5 (48x24)",presets,4,VERIFIED,https://www.remoteofficeguy.com/flexispot-e5-vs-e6-vs-e7/,2026-08-18,"~$209 frame-only street price; ~$269 complete. 10-yr warranty. Heights frame-only."
D01,FlexiSpot,"FlexiSpot E5 (48x24)",cable_management,False,VERIFIED,https://www.remoteofficeguy.com/flexispot-e5-vs-e6-vs-e7/,2026-08-18,"~$209 frame-only street price; ~$269 complete. 10-yr warranty. Heights frame-only."
D01,FlexiSpot,"FlexiSpot E5 (48x24)",returns_window_days,30,VERIFIED,https://www.remoteofficeguy.com/flexispot-e5-vs-e6-vs-e7/,2026-08-18,"~$209 frame-only street price; ~$269 complete. 10-yr warranty. Heights frame-only."
D01,FlexiSpot,"FlexiSpot E5 (48x24)",noise_db,,UNVERIFIED — fill from checkout page,https://www.remoteofficeguy.com/flexispot-e5-vs-e6-vs-e7/,2026-08-18,"~$209 frame-only street price; ~$269 complete. 10-yr warranty. Heights frame-only."
D01,FlexiSpot,"FlexiSpot E5 (48x24)",shipping_usd,,UNVERIFIED — fill from checkout page,https://www.remoteofficeguy.com/flexispot-e5-vs-e6-vs-e7/,2026-08-18,"~$209 frame-only street price; ~$269 complete. 10-yr warranty. Heights frame-only."
